Êó•Êúü,ÊúüÊùÉ‰ª£Á†Å,‰∫§Êòì‰ª£Á†Å,Ë°åÊùÉ‰ª?ÊúüÊùÉÁÆÄÁß?Ê∂®Ë∑åÂπ?%),Êàê‰∫§È¢?ÂâçÁªìÁÆó‰ª∑,ÂºÄÁõò‰ª∑,ÊúÄÈ´ò‰ª∑,ÊúÄ‰Ωé‰ª∑,Êî∂Áõò‰ª?ÁªìÁÆó‰ª?Êàê‰∫§Èá?ÊåÅ‰ªìÈá?Ê∂®ÂÅú‰ª?Ë∑åÂÅú‰ª?Delta,Gamma,Vega,Theta,Rho,,,,,,,,,
2015/2/9 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,0.77262693,4712265,0.1812,0.182,0.2029,0.1699,0.1826,0.1826,2501,674,0.4103,0.0001,0.741,1.308,0.264,-0.393,0.189
2015/2/10 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,13.4720701,3744873,0.1826,0.1856,0.2144,0.18,0.2072,0.2072,1842,1087,0.4157,0.0001,0.8,1.184,0.229,-0.348,0.202
2015/2/11 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,1.68918919,4231181,0.2072,0.2083,0.2195,0.2028,0.2107,0.2107,1999,1628,0.4441,0.0001,0.831,1.157,0.205,-0.309,0.206
2015/2/12 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,0.09492169,4804803,0.2107,0.2141,0.2143,0.1915,0.2109,0.2109,2334,1930,0.4487,0.0001,0.848,1.142,0.189,-0.288,0.206
2015/2/13 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,-0.9009009,4604396,0.2109,0.213,0.2459,0.209,0.209,0.209,2066,2215,0.4493,0.0001,0.894,1.062,0.146,-0.223,0.214
2015/2/16 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,3.92344498,2450037,0.209,0.2111,0.2219,0.2066,0.2172,0.2173,1153,2387,0.448,0.0001,0.865,1.084,0.167,-0.289,0.19
2015/2/17 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,5.66037736,1778307,0.2173,0.2226,0.2408,0.2226,0.2296,0.2281,759,2329,0.4567,0.0001,0.906,0.93,0.128,-0.233,0.196
2015/2/25 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,-17.36080666,1705437,0.2281,0.2235,0.225,0.1816,0.1885,0.1876,815,2357,0.4692,0.0001,0.873,1.25,0.138,-0.301,0.146
2015/2/26 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,34.86140725,2747089,0.1876,0.19,0.253,0.173,0.253,0.253,1246,2050,0.4246,0.0001,1,0,0,-0.092,0.164
2015/2/27 0:00,10000001,510050C1503M02200,2.2,50ETFË¥?015Âπ?Êú?200,-1.66007905,2264841,0.253,0.2534,0.2739,0.2431,0.2488,0.2498,873,2398,0.498,0.008,0.933,0.736,0.085,-0.243,0.146
